(274)mk_version***;		1.01;
(275)sett_version*;		0.03;
(276)serial_num_pc;		    1;
(277)complect*****;		    1;
(608)fpga_version*;		1.00;
tconv_run****t=UTC Mon Sep 11 13:29:41 2023
var_name\time***s=;		    0;	   -1;	   -2;	   -3;	   -4;	   -5;	   -6;	   -7;	   -8;	   -9;	  -10;	  -11;	  -12;	  -13;	  -14;	  -15;	  -16;	  -17;	  -18;	  -19;	  -20;	  -21;	  -22;	  -23;	  -24;	  -25;	  -26;	  -27;	  -28;	  -29;	  -30;	  -31;
(256)freq*********;		20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	20.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;
(257)freqi********;		1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	1.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00;
(258)set_u********;		10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;
(259)set_ui*******;		10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;
(264.0)ready******;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(264.4)pan********;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(264.9)uf(u/f=cons;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(512.0)di.ready_re;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(512.1)di.forvard*;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(512.9)di.avost***;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(512.10)di.qf1_on*;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(512.11)di.qf2_on*;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(512.12)di.qf3_on*;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(512.13)di.qf4_on*;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(513.1)Do.ready_on;		    0;	    1;	    0;	    0;	    1;	    0;	    1;	    0;	    1;	    0;	    1;	    1;	    0;	    1;	    0;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(513.2)Do.qf_off_i;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(513.3)Do.vuf_on**;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
(513.4)Do.err_asu_;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;	    0;
